"ID","問題文","選択肢1","選択肢2","選択肢3","選択肢4","正解番号","解説"
"1","情報システムの詳細部分において、扱うデータ型やデータ構造を含めて機能単位の設計図を作成する工程を何というか。","要求分析と定義","基本(外部)設計","詳細(内部)設計","製造(プログラミング)","3","詳細設計（内部設計）では、プログラムを実装するために必要なデータ型・データ構造・アルゴリズム・インターフェースなどを具体的に定義します。製造（プログラミング）工程に渡して実装できるレベルまで仕様を詰める工程です。"
"2","完成した情報システムの利用を開始するための一連の作業を指す工程はどれか。","詳細(内部)設計","製造(プログラミング)","テスト","本番移行(リリース)","4","本番移行（リリース）は、開発・テストを終えたシステムを実際の業務環境へ導入し、利用を開始する一連の作業です。移行計画、データ移行、切替手順、稼働確認などが含まれます。"
"3","製造されたモジュールが、必要な機能や改善点などを満足しているかを確認する作業工程はどれか。","基本(外部)設計","詳細(内部)設計","製造(プログラミング)","テスト","4","テストは、製造されたモジュールやシステム全体が要件どおりに動作するかを確認する工程です。単体テスト、結合テスト、総合テストなど段階的に検証し、不具合を発見・修正します。"
"4","ユーザーの視点に立ち、情報システム全体の設計図（外部仕様）を作成する工程はどれか。","要求分析と定義","基本(外部)設計","詳細(内部)設計","製造(プログラミング)","2","基本設計（外部設計）では、利用者の視点でシステム全体の構成や主要な機能、画面や外部インターフェースを定義します。システムの範囲や外部とのやり取りを明確にする工程です。"
"5","運用を開始した情報システムの状況確認や定期検査を実施し、安定稼働を支える工程はどれか。","製造(プログラミング)","テスト","本番移行(リリース)","運用・保守","4","運用・保守は、システム稼働後に行う継続的な活動で、不具合対応、定期点検、性能監視、利用者からの要望に基づく機能追加などを含みます。安定稼働と改善が目的です。"
"6","機能単位の設計図に従って、実際の動作を実現するプログラムを作成していく工程はどれか。","基本(外部)設計","詳細(内部)設計","製造(プログラミング)","テスト","3","製造（プログラミング）は、詳細設計に基づいて実際にプログラムコードを作成する工程です。単体テストやコードレビューを行い、動作するソフトウェアを作り上げます。"
"7","【　　】とは、情報システムが実装すべき処理や機能のことである。","機能詳細","機能要求","非機能要求","要件定義","2","機能要求は、システムが具体的にどのような処理を行うかを定義したものです。"
"8","検索の応答時間は3秒以内といった、機能要求以外のシステムが備えるべき条件を何と呼ぶか。","非機能要求","機能詳細","要件定義","製造要件","1","非機能要求は、性能、信頼性、セキュリティ、拡張性など、品質面に関する要求事項です。"
"9","検索の応答時間は3秒以内という具体的な目標値は、次のうちどれに分類されるか。","機能要求","非機能要求","詳細設計","要件定義","2","応答時間などのパフォーマンス指標は、機能そのものではなく品質に関する条件のため非機能要求です。"
"10","DFD（データフロー図）において、予約という処理機能はどの要素に分類されるか。","外部実体","データフロー","データストア","プロセス","4","プロセスはデータの加工や変換を行う機能を示し、円や角丸四角形で表現されます。"
"11","DFD（データフロー図）において、情報を蓄積する場所である利用者台帳はどの要素に分類されるか。","外部実体","データフロー","データストア","プロセス","3","データストアは、ファイルやデータベースなど、データを恒久的に保存する場所を指します。"
"12","DFD（データフロー図）において、要素間を流れる情報の動きを示す予約情報はどの要素か。","外部実体","データフロー","データストア","プロセス","2","データフローは情報の流れを矢印で表現し、どのようなデータが受け渡されるかを示します。"
"13","DFDにおいて、返却情報というデータの流れはどの要素に分類されるか。","外部実体","データフロー","データストア","プロセス","2","返却情報はシステム内を移動するデータであるため、データフローに該当します。"
"14","DFDにおいて、利用者情報というデータの流れはどの要素に分類されるか。","外部実体","データフロー","データストア","プロセス","2","情報の移動を示すものはすべてデータフローとして分類されます。"
"15","DFDにおいて、書籍データを蓄積する蔵書台帳はどの要素に分類されるか。","外部実体","データフロー","データストア","プロセス","3","蔵書データが保管されている場所を指すため、データストアに分類されます。"
"16","Pythonで4 * 3を実行した際の出力結果を答えなさい。","7","12","12.0","","2","*は乗算（掛け算）を行う計算記号です。4 × 3 = 12 となります。"
"17","Pythonで4 / 2を実行した際の出力結果を答えなさい。","2","2.0","6","0","2","/は浮動小数点を返します。4 / 2 は 2.0 になります。"
"18","Pythonでhello + worldを実行した際の出力結果を答えなさい。","hello world","helloworld","hello+world","","2","文字列同士を+演算子で結合すると、空白なしで繋がった1つの文字列になります。"
"19","Pythonで2 * 3 < 5を実行した際の実行結果（真偽値）を答えなさい。","True","False","","","2","2 * 3 は 6 です。6 < 5 は成立しないため、結果は False となります。"
"20","変数 s = apple から文字列 le を取得するためのスライス操作として適切なものはどれか。","s[3:5]","s[2:4]","s[4:5]","s[3:4]","1","インデックス3(l)から、インデックス5の直前(e)までを取得します。"
"21","data = [1, 2, 3, 4, 5, 1, 1] から、先頭の1を取得するコードとして適切なものはどれか。","data[1]","data[0]","data.first()","data(0)","2","Pythonのリストのインデックス（添字）は0から始まります。"
"22","data = [1, 2, 3, 4, 5, 1, 1] の2を8に書き換えるプログラムとして正しいものはどれか。","data[1] = 8","data[2] = 8","data[8] = 2","data[1] == 8","1","2はインデックス1にあります。data[1]に8を代入することで書き換えが完了します。"
"23","data = [1, 2, 3, 4, 5, 1, 1] の要素数（リストの長さ）を取得する関数はどれか。","size(data)","count(data)","length(data)","len(data)","4","len()関数は、リストや文字列などのオブジェクトの要素数を返します。"
"24","data = [1, 2, 3, 4, 5, 1, 1] に対しsum(data)を実行した結果を答えなさい。","15","17","20","7","2","リスト内の全要素（1+2+3+4+5+1+1）の合計値である17を返します。"
"25","data = [1, 2, 3, 4, 5, 1, 1] に対しdata.count(1)を実行した結果を答えなさい。","1","2","3","4","3","count()メソッドは、指定した要素がリストの中に何個含まれているかを数えます。"
"26","data = [1, 2, 3, 4, 5, 1, 1] に対しmax(data)を実行した結果を答えなさい。","3","4","5","7","3","max()関数は、リストに含まれる要素の中から最大値を取得します。"
"27","辞書 fruits = {りんご: 赤, バナナ: 黄, ぶどう: 紫} において、fruits[バナナ] の実行結果を答えなさい。","赤","黄","紫","","2","辞書名[キー]と指定することで、そのキーに対応する値を取り出せます。"
"28","辞書 fruits = {りんご: 赤, バナナ: 黄, ぶどう: 紫} に {キウイ: 緑} を追加した後の状態として正しいものはどれか。","{キウイ: 緑}","{りんご: 赤, バナナ: 黄, ぶどう: 紫, キウイ: 緑}","{キウイ: 緑, りんご: 赤}","","2","新しいキーに対して値を代入することで、辞書に新しいペアが追加されます。"
"29","辞書 fruits = {りんご: 赤, バナナ: 黄, ぶどう: 紫} のぶどうの色を緑に書き換えるコードはどれか。","fruits[ぶどう] == 緑","fruits[ぶどう] = 緑","fruits[緑] = ぶどう","fruits.add(ぶどう, 緑)","2","既存のキーに対して値を代入すると、そのキーに紐付く値が更新されます。"
"30","ユースケース図において、人型の図記号（アクター）が表す意味として適切なものはどれか。","情報システムの範囲","提供する機能","システムを利用する対象とその名称","データの保管場所","3","アクターはシステムを利用するユーザーや外部組織を表し、人型の記号で記述します。"
"31","ユースケース図において、楕円の図記号（ユースケース）の中に記述すべき内容はどれか。","システム名","アクター名","提供する機能名","データの流れ","3","ユースケースはシステムが提供する具体的な機能を指し、楕円の中にその名称を記述します。"
"32","ユースケース図において、長方形の図記号（システム境界/対象）が表す意味はどれか。","外部システム","情報システムの範囲","データの流れ","アクターの役割","2","システム境界（長方形）は、どこまでが開発対象のシステムであるかを明確にします。"
"33","ユースケース図において、システム境界を示す長方形の上部には何を記述するか。","アクター名","ユースケース名","システム全体の名称","データフロー","3","長方形の外側上部には、そのシステム全体の名称を記述します。"
"34","ユースケース図において、アクター（人型）の下部などに記述する名称の具体例として適切なものはどれか。","図書の予約","利用者","システム境界","プロセス","2","アクターには利用者や管理者など、操作主体の具体的な名称を記述します。"
"35","ユースケース図に関する記述として正しいものに〇、間違っているものに✕を答えなさい。アクターとユースケースは実線で結ぶ。","〇","✕","","","1","アクターがどの機能（ユースケース）を利用するかを、実線を用いて関連付けます。"
"36","ユースケース図に関する記述として正しいものに〇、間違っているものに✕を答えなさい。アクターの例として、『図書の予約』がある。","〇","✕","","","2","図書の予約は機能であるため、アクターではなくユースケースに該当します。"
"37","ユースケース図に関する記述として正しいものに〇、間違っているものに✕を答えなさい。ユースケース図記号（楕円）の内部に『商品販売システム』と記述する。","〇","✕","","","2","楕円の中には商品の販売といった具体的な機能を書き、システム名は長方形の上に書きます。"
"38","ユースケース図に関する記述として正しいものに〇、間違っているものに✕を答えなさい。一般的にアクターやユースケースは、１つの図の中に複数存在する。","〇","✕","","","1","複雑なシステムでは、多くの利用者（アクター）と多くの機能（ユースケース）が記述されます。"
"39","変数 kensuu = 2 のとき、[kensuu = kensuu + 1] が実行された後の kensuu の値はいくつか。","1","2","3","4","3","元の値2に1を加算して再代入するため、結果は3になります。"
"40","data = [4, 1, 1, 3, 2] に対し range(0, 5) でループさせた場合、変数 i に代入される最後の値はいくつか。","0","4","5","1","2","range(0, 5) は 0, 1, 2, 3, 4 までを順に生成するため、最後は 4 です。"
"41","data = [4, 1, 1, 3, 2] を走査し、要素が 1 の場合にカウントを増やすプログラムの最終的な出力結果（件数）を答えなさい。","1","2","3","4","2","リストの中に1は2回出現するため、カウンタの結果は 2 となります。"
"42","【　　】とは、利用者が要求する必要な機能や機能の改善点などを分析することである。","要件定義","要求分析","基本設計","詳細設計","2","要求分析は、開発の出発点としてユーザーの真のニーズを整理する作業です。"
"43","【　　】とは、利用者が実現したいことを明確にしてから、開発者側が作ろうとするものを定義することである。","要求分析","基本設計","製造","要件定義","4","要件定義は、要求分析で整理された利用者のニーズをもとに、開発側が実際に作るべきシステムの仕様を確定する工程です。機能要件や非機能要件、優先度や制約条件を明文化します。"
"44","基本設計（外部設計）において作成するものは、次のうちどれか。","機能単位の設計図","情報システム全体の設計図","プログラムコード","テスト仕様書","2","基本設計では、ユーザーから見える部分を含むシステム全体の構造を定義します。"
"45","詳細設計（内部設計）において作成するものは、次のうちどれか。","システム全体の概略図","詳細部分である機能単位の設計図","要件定義書","外部実体の定義","2","詳細設計は、製造工程に渡せるレベルまで個々の機能の内部仕様を詰める工程です。"
"46","製造工程において、詳細設計を基に作成していく成果物はどれか。","要件定義書","システム設計図","プログラム","運用マニュアル","3","製造（プログラミング）工程の主要な成果物は、動作するプログラム本体です。"
"47","製造されたプログラムの最小単位（部品）を指す用語はどれか。","システム","モジュール","プロセス","データストア","2","モジュールは、プログラムを分割したときの最小の機能単位で、独立して設計・実装・テストできる部品です。モジュール化により保守性や再利用性が向上します。"
"48","テストとは、製造された【　　】が、利用者の要求を満足しているか確認する作業である。","データフロー","アクター","プロセス","モジュール","4","テストは、製造されたモジュールやシステム全体が要件どおりに動作するかを確認する工程です。単体テスト、結合テスト、総合テストなど段階的に検証し、不具合を発見・修正します。"
"49","完成した情報システムの利用を開始するための一連の作業を、カタカナで何と呼ぶか。","リリース","リユース","リプレース","リセット","1","本番移行のことは一般的にリリースと呼ばれます。"
"50","運用・保守工程で行われる定期検査の目的として最も適切なものはどれか。","要件の追加","プログラムの作成","システムの稼働状況の確認と維持","外部実体の定義","3","安定した稼働を続けるために、定期的な点検や状態確認が必要となります。"
"51","SDLC（システム開発ライフサイクル）において、不具合への対応や機能追加を行う工程はどれか。","要求分析","基本設計","詳細設計","運用・保守","4","運用・保守は、システム稼働後に行う継続的な活動で、不具合対応、定期点検、性能監視、利用者からの要望に基づく機能追加などを含みます。安定稼働と改善が目的です。"
"52","情報システムとは何かを定義した記述として、最も適切なものはどれか。","アクターのこと","プログラムのこと","業務や目的を達成するために動く仕組みの総体","データの蓄積場所","3","プログラムだけでなく、ハードウェア、ネットワーク、運用体制なども含む仕組み全体を指します。"
"53","要求分析と定義を受けて、【　　】側が作ろうとするものを定義する工程を要件定義という.","利用者","開発者","管理者","ステークホルダー","2","要件定義は、利用者の要望を汲み取りつつ、開発者が何を作るかを決める作業です。"
"54","【　　】とは、利用者が要求する必要な機能や機能の改善点などを分析することである。","要求分析","外部実体","データフロー","詳細設計","1","利用者のやりたいことを整理・把握する工程が要求分析です。"
"55","SDLCにおいて内部設計と呼ばれることもある工程はどれか。","要求分析","基本設計","詳細設計","テスト","3","詳細設計はシステムの内部構造を定義するため、内部設計とも称されます。"
"56","SDLCにおいて外部設計と呼ばれることもある工程はどれか。","基本設計","詳細設計","要件定義","本番移行","1","基本設計はユーザーが接する画面や外部仕様を設計するため、外部設計とも呼ばれます。"
"57","図書管理システムにおける図書の予約は、どの要求に分類されるか。","非機能要求","詳細設計","要件定義","機能要求","4","利用者がシステムで行う具体的な業務処理であるため、機能要求に該当します。"
"58","図書管理システムにおける図書の検索は、どの要求に分類されるか。","非機能要求","基本設計","機能要求","運用保守","3","検索機能はシステムが提供すべき主要な機能の一つであり、機能要求です。"
"59","検索の応答時間は3秒以内という条件は、どの要求に分類されるか。","機能要求","非機能要求","外部設計","プログラミング要件","2","機能そのものではなく、その機能のパフォーマンス（性能）に関する制約のため非機能要求です。"
"60","機能要求と非機能要求の違いについて、正しい説明はどれか。","機能要求は画面デザインで非機能要求はプログラム","機能要求は実装すべき機能で非機能要求は性能や品質","どちらも同じ意味である","","2","機能要求は何ができるか、非機能要求はどの程度の品質かを定義します。"
"61","DFDにおいて、データの発生源や受け取り先である利用者はどれに分類されるか。","プロセス","データストア","データフロー","外部実体","4","外部実体は、システムの外部に存在し、データの入力元や出力先となる要素です。"
"62","DFDにおいて、在庫情報や予約情報といった、矢印で示される要素はどれか。","外部実体","データストア","データフロー","プロセス","3","データフローは、システム内を移動する情報の種類と方向を矢印で表します。"
"63","DFDにおいて、利用者台帳や貸出台帳のようにデータを貯めておく場所はどれか。","外部実体","データフロー","データストア","プロセス","3","データストアは、処理に必要な情報を永続的に保管している場所を指します。"
"64","DFDにおいて、データの加工や受け渡しといった処理を示す要素はどれか。","外部実体","データフロー","データストア","プロセス","4","プロセスは、入ってきたデータを別の形式に変換して出力する活動を表現します。"
"65","Pythonで5 * 6を実行した際の結果を答えなさい。","11","30","30.0","25","2","計算記号*による乗算（5×6）の結果は30となります。"
"66","Pythonでabc + dを実行した際の結果を答えなさい。","abc d","abc+d","abcd","","3","文字列同士の足し算は連結を意味し、空白なしで繋がります。"
"67","Pythonで12 / 3を実行した際の結果を答えなさい。","4","4.0","15","9","2","Python3では / は浮動小数点を返します。12 / 3 は 4.0 になります。"
"68","Pythonで3 ** 2 < 8を実行した際の実行結果を答えなさい。","True","False","","","2","3の2乗は9であり、9 < 8 は成り立たないため False となります。"
"69","i = iphone のとき、i[1:4] で取得される文字列を答えなさい。","iph","pho","hon","ipho","2","インデックス1(p)から4の直前(o)まで、すなわちインデックス1, 2, 3を取得します。"
"70","data = [1, 1, 2, 3] の要素数（len(data)）を答えなさい。","2","3","4","7","3","リストに含まれる要素の個数は 1, 1, 2, 3 の計 4 つです。"
"71","data = [1, 1, 2, 3] において、最小値（min(data)）を答えなさい。","1","2","3","0","1","min()関数は、リスト内の数値の中から最も小さい値を取得します。"
"72","data = [1, 1, 2, 3] において、最大値（max(data)）を答えなさい。","1","2","3","4","3","max()関数は、リスト内の数値の中から最も大きい値を取得します。"
"73","data = [1, 1, 2, 3] において、合計値（sum(data)）を答えなさい。","4","5","7","11","3","1 + 1 + 2 + 3 の計算結果である 7 を返します。"
"74","data = [1, 1, 2, 3] において、数値 1 の個数（data.count(1)）を答えなさい。","1","2","3","4","2","count()メソッドで、リストに含まれる特定の要素の出現回数を取得できます。"
"75","data = [1, 1, 2, 3] に対し、data[0] = 5 を実行した後の data[0] の値を答えなさい。","1","2","5","","3","インデックス0（最初の要素）に5を代入することで、1から5へ更新されます。"
